round,loss,accuracy,recall,precision,fpr,tnr
1,0.14964017697362025,0.07792207792207792,0.02564102564102564,0.001998001998001998,0.025641025640989527,0.9743589743576774
2,0.13914888646511958,0.07792207792207792,0.02564102564102564,0.001998001998001998,0.025641025640989527,0.9743589743576774
3,0.1235345999399821,0.1038961038961039,0.04487179487179487,0.013173541434410999,0.024533644846881926,0.9754663551517848
4,0.10750154851533689,0.35064935064935066,0.1987179487179487,0.12045177045177045,0.017544317118022727,0.9824556828806442
5,0.09484695348163578,0.45454545454545453,0.3141025641025641,0.2105921855921856,0.014633704843890719,0.9853662951547764
6,0.08459249412186727,0.4805194805194805,0.344017094017094,0.2130928900159669,0.01388761725507201,0.9861123827435947
7,0.07688086342224872,0.4935064935064935,0.38247863247863245,0.2887973137973137,0.013579806102817739,0.9864201938958492
8,0.071336438831867,0.5194805194805194,0.4081196581196581,0.30283647975955663,0.01282844423899681,0.9871715557596702
9,0.0667557445948556,0.5194805194805194,0.39957264957264954,0.29215271907579593,0.01285220352887909,0.987147796469788
10,0.06256206566322037,0.6103896103896104,0.48931623931623935,0.375180802103879,0.010425667106590595,0.9895743328920764
11,0.06003097303761732,0.5714285714285714,0.46794871794871795,0.36193293885601574,0.011460674716939278,0.9885393252817277
12,0.05696101466014614,0.6233766233766234,0.517094017094017,0.39911242603550295,0.01008378676471071,0.9899162132339563
13,0.05491857240664079,0.5844155844155844,0.5021367521367522,0.38928336620644305,0.011100182784710288,0.9888998172139566
14,0.05294910706663025,0.6233766233766234,0.517094017094017,0.39740302432610125,0.010079288339159664,0.9899207116595071
15,0.05194569892797961,0.6493506493506493,0.5512820512820513,0.4435897435897436,0.00937029735557012,0.9906297026430969
16,0.05004522419082505,0.6493506493506493,0.5458333333333333,0.4645833333333333,0.009157131425450823,0.9908428685731983
17,0.04872656057878362,0.6493506493506493,0.5598290598290598,0.47804972804972806,0.009345188634809298,0.9906548113638578
18,0.04766750733057658,0.6623376623376623,0.5666666666666667,0.49163461538461534,0.008836458058847151,0.9911635419398022
19,0.04646562923254316,0.6753246753246753,0.575,0.5054166666666666,0.008459384152362033,0.9915406158462872
20,0.045350784956742184,0.6623376623376623,0.575,0.49246794871794874,0.008841078063467142,0.9911589219351822
21,0.04421960222107719,0.7142857142857143,0.6208333333333333,0.54,0.007363355997511914,0.9926366440011373
22,0.04355893645777265,0.7012987012987013,0.6125,0.5340151515151514,0.00774042990399703,0.9922595700946522
23,0.04274530760127159,0.7142857142857143,0.6166666666666666,0.5570512820512821,0.007455076677467629,0.9925449233211816
24,0.04201827298608136,0.7272727272727273,0.63125,0.57,0.007016855651012037,0.9929831443476371
25,0.04155378787042844,0.7402597402597403,0.6178861788617886,0.5648928307464893,0.006433359173467481,0.993566640825164
26,0.040929477366825076,0.7402597402597403,0.6375,0.5783333333333334,0.006670355304512157,0.993329644694137
27,0.040281035156057986,0.7402597402597403,0.6375,0.5691666666666666,0.006660730294887174,0.9933392697037621
28,0.03937539906309755,0.7402597402597403,0.6375,0.5691666666666666,0.006660730294887174,0.9933392697037621
29,0.039039644498953086,0.7402597402597403,0.6375,0.5691666666666666,0.006660730294887174,0.9933392697037621
30,0.03870723078181546,0.7402597402597403,0.6375,0.5691666666666666,0.006660730294887174,0.9933392697037621
