round,loss,accuracy,recall,precision,fpr,tnr
1,0.15089640212005684,0.07792207792207792,0.02564102564102564,0.002564102564102564,0.025313590947358546,0.9746864090513083
2,0.13872020676632055,0.07792207792207792,0.02564102564102564,0.001998001998001998,0.025641025640989527,0.9743589743576774
3,0.11944433005330814,0.12987012987012986,0.05448717948717949,0.047227701073854926,0.0234365671223704,0.9765634328762965
4,0.09973697785029742,0.4025974025974026,0.25106837606837606,0.19516317016317017,0.016002096960846892,0.98399790303782
5,0.08600173620569626,0.5324675324675324,0.37083333333333335,0.2540552503052503,0.012339834986876824,0.9876601650117723
6,0.07569728009652771,0.5974025974025974,0.41666666666666663,0.3253846153846154,0.010617508264552418,0.9893824917340966
7,0.06866716335817205,0.5974025974025974,0.425,0.32967032967032966,0.010602328249372442,0.9893976717492767
8,0.06379328131409033,0.5844155844155844,0.4395833333333333,0.3359798534798535,0.01094395016633637,0.9890560498323128
9,0.05948469406806382,0.6363636363636364,0.4593495934959349,0.33817970647238943,0.00928752086420633,0.9907124791344251
10,0.056884674231211345,0.6493506493506493,0.5021367521367522,0.4036833536833536,0.009331946219447867,0.990668053779219
11,0.05400409413130758,0.6623376623376623,0.5042735042735043,0.3955636955636955,0.008999184307739019,0.9910008156909279
12,0.051944626711092276,0.6493506493506493,0.5021367521367522,0.3968457468457468,0.009327326214827875,0.9906726737838392
13,0.049938658166518414,0.6363636363636364,0.4833333333333334,0.37650793650793646,0.009459519290287984,0.990540480708361
14,0.04796587774150857,0.6493506493506493,0.5083333333333334,0.41567460317460314,0.009122385528497133,0.9908776144701518
15,0.0464854805128153,0.6753246753246753,0.5598290598290598,0.46980056980056983,0.008643317376530115,0.9913566826221369
16,0.045048294104719055,0.6883116883116883,0.5708333333333334,0.5038888888888888,0.008068512899283481,0.9919314870993654
17,0.04428427362068654,0.7142857142857143,0.5791666666666667,0.5022222222222222,0.007366145621574701,0.9926338543770743
18,0.04274738389640313,0.7142857142857143,0.6208333333333333,0.5559722222222222,0.007361140616569711,0.9926388593820794
19,0.04168242914831345,0.7012987012987013,0.5958333333333334,0.5284722222222221,0.007717265972694572,0.9922827340259545
20,0.04145206554357371,0.7272727272727273,0.6117886178861789,0.5525745257452574,0.006746093921540124,0.9932539060770912
21,0.04003348917235731,0.7142857142857143,0.6056910569105691,0.5509485094850949,0.007106965857754018,0.9928930341408773
22,0.039341444350462364,0.7272727272727273,0.6178861788617886,0.586720867208672,0.006760734781251365,0.9932392652173798
23,0.03975966516757171,0.7272727272727273,0.5833333333333334,0.5357881136950904,0.006200472077804372,0.9937995279207892
24,0.03837069206323133,0.7142857142857143,0.5804263565891473,0.5354651162790698,0.0062838518823997306,0.9937161481161747
25,0.03866445524180496,0.7012987012987013,0.5568181818181818,0.5195592286501378,0.006704211094240424,0.9932957889043339
26,0.03732042192612718,0.7142857142857143,0.5775193798449613,0.530749354005168,0.0065570335948062965,0.9934429664037874
27,0.037247019006101875,0.7272727272727273,0.5972222222222223,0.548941798941799,0.0061907332285064546,0.9938092667700874
28,0.03771689211495504,0.7272727272727273,0.5956439393939394,0.5515151515151515,0.005576557137943337,0.9944234428606108
29,0.03648359592195592,0.7272727272727273,0.5920542635658915,0.5358527131782946,0.005885991794687586,0.9941140082038868
30,0.035873360648517906,0.7532467532467533,0.6191860465116279,0.592248062015504,0.005125214110834109,0.9948747858877405
