round,FP,TN,FPR
1,6,18,0.25
2,6,18,0.25
3,6,18,0.25
4,6,18,0.25
5,6,18,0.25
6,6,18,0.25
7,6,18,0.25
8,6,18,0.25
9,6,18,0.25
10,6,18,0.25
11,6,18,0.25
12,6,18,0.25
13,6,18,0.25
14,6,18,0.25
15,6,18,0.25
16,6,18,0.25
17,6,18,0.25
18,6,18,0.25
19,6,18,0.25
20,6,18,0.25
