round,loss,accuracy,recall,precision
1,0.1503068759670727,0.05194805194805195,0.02564102564102564,0.001332001332001332
2,0.13901368243582296,0.18181818181818182,0.05128205128205128,0.015024944889198283
3,0.1251333725265742,0.19480519480519481,0.07371794871794872,0.022486772486772486
4,0.10766999737528346,0.2987012987012987,0.14743589743589744,0.101010101010101
5,0.09355152896053305,0.42857142857142855,0.27777777777777773,0.20917970917970918
6,0.08349040178644578,0.4935064935064935,0.3625,0.29679945054945056
7,0.0758881643581177,0.5194805194805194,0.38333333333333336,0.30444805194805197
8,0.06983972497167737,0.5064935064935064,0.375,0.30337301587301585
9,0.06525319966693853,0.5454545454545454,0.41025641025641024,0.321001221001221
10,0.061727119745557474,0.5714285714285714,0.4458333333333333,0.3247023809523809
11,0.05835231382574811,0.5714285714285714,0.4349593495934959,0.344541231126597
12,0.056183664270695426,0.5974025974025974,0.48373983739837406,0.3835656213704994
13,0.053715096144068164,0.6363636363636364,0.5375,0.4267857142857142
14,0.05184118491691231,0.6233766233766234,0.5125,0.418452380952381
15,0.049648135673813105,0.6363636363636364,0.5375,0.4514880952380952
16,0.04832397755360443,0.6753246753246753,0.5625,0.4604166666666666
17,0.047412524874045014,0.6623376623376623,0.5609756097560976,0.5065889395157688
18,0.045965107201996536,0.6623376623376623,0.5569105691056911,0.4773519163763066
19,0.04481174913828805,0.6883116883116883,0.6041666666666666,0.5505036630036629
20,0.04394103020629627,0.7012987012987013,0.5934959349593496,0.5375145180023229
21,0.0428663098838772,0.7402597402597403,0.6239837398373984,0.5764227642276423
22,0.042218541658964735,0.7402597402597403,0.6395833333333334,0.5866666666666667
23,0.041218203946248,0.7272727272727273,0.6117886178861789,0.570034843205575
24,0.04027751949542854,0.7402597402597403,0.6158536585365854,0.5459349593495935
25,0.040141682016769514,0.7402597402597403,0.6239837398373984,0.5764227642276423
26,0.03900021331955656,0.7272727272727273,0.6270833333333334,0.5533333333333333
27,0.038822684592048594,0.7272727272727273,0.6178861788617886,0.5764227642276423
28,0.0381779087869913,0.7272727272727273,0.6178861788617886,0.5764227642276423
29,0.03758272481978073,0.7402597402597403,0.6239837398373984,0.5764227642276423
30,0.0376182936715333,0.7272727272727273,0.6178861788617886,0.5471544715447154
