round,loss,accuracy,recall,precision
1,0.14997990478071857,0.14285714285714285,0.05128205128205128,0.010903910903910904
2,0.13736389200692742,0.14285714285714285,0.041666666666666664,0.02356532356532357
3,0.11715092947019026,0.22077922077922077,0.096875,0.06046043417366946
4,0.09898934892359997,0.45454545454545453,0.29166666666666663,0.20331773618538324
5,0.08634233282716482,0.5064935064935064,0.35,0.24238636363636362
6,0.07735468535881981,0.5194805194805194,0.3625,0.23783730158730157
7,0.0706140596327899,0.5454545454545454,0.39837398373983746,0.27884243128145564
8,0.06558703912184542,0.5974025974025974,0.44375,0.3543452380952381
9,0.06145961407313678,0.5844155844155844,0.4395833333333333,0.3592261904761905
10,0.05811977986521369,0.6363636363636364,0.4958333333333333,0.4206818181818182
11,0.054941982390896586,0.6493506493506493,0.5091463414634146,0.4378048780487805
12,0.05221972476182635,0.6753246753246753,0.5335365853658537,0.46084010840108397
13,0.05076323870311114,0.6493506493506493,0.5091463414634146,0.4323848238482385
14,0.04917674608678626,0.7142857142857143,0.5875,0.5190151515151514
15,0.047528349566512994,0.7272727272727273,0.5802845528455285,0.502710027100271
16,0.04577708541680236,0.7142857142857143,0.5945121951219512,0.5262872628726287
17,0.044556633271360294,0.7662337662337663,0.6520833333333333,0.59625
18,0.04389603986036057,0.7532467532467533,0.6331300813008129,0.5811653116531165
19,0.042641118802213565,0.7012987012987013,0.6067073170731707,0.5555555555555556
20,0.041145348348873574,0.7402597402597403,0.6209349593495934,0.5384823848238481
21,0.040310576418102186,0.7402597402597403,0.6290650406504065,0.5677506775067751
22,0.039729709326554195,0.7142857142857143,0.5882936507936508,0.5248677248677248
23,0.03867819483914898,0.7402597402597403,0.6121031746031745,0.5645502645502646
24,0.038084596502167535,0.7142857142857143,0.5962301587301587,0.5284391534391534
25,0.037736941263979716,0.7662337662337663,0.6418650793650793,0.5847222222222221
26,0.03671345957440285,0.7532467532467533,0.6230158730158729,0.5646825396825397
27,0.036488550034678754,0.7792207792207793,0.6577380952380952,0.5992063492063492
28,0.036815328392673125,0.7532467532467533,0.6458333333333334,0.5843253968253967
29,0.03594207346306018,0.7892207792207793,0.6677380952380952,0.5992063492063492
30,0.03519020441927899,0.79532467532467533,0.678333333333334,0.6043253968253967
