round,loss,accuracy,recall,precision
1,0.15046443267156615,0.11688311688311688,0.04487179487179487,0.007633136094674557
2,0.13762853833652983,0.07792207792207792,0.02564102564102564,0.0022624434389140274
3,0.12063154064835585,0.14285714285714285,0.05448717948717949,0.03925988541373157
4,0.1038924819937755,0.3246753246753247,0.1762820512820513,0.1116921539998463
5,0.0918357993132316,0.45454545454545453,0.29166666666666663,0.19597222222222221
6,0.0819679998978139,0.4805194805194805,0.31666666666666665,0.20453754578754574
7,0.07487026466352562,0.5584415584415584,0.3902439024390244,0.27178444861371687
8,0.0695430144900977,0.5454545454545454,0.3902439024390244,0.2785714285714286
9,0.06510033842167864,0.5844155844155844,0.43902439024390244,0.33954703832752614
10,0.061546690672035984,0.5584415584415584,0.4227642276422764,0.3307200929152148
11,0.058630252417835343,0.6103896103896104,0.4593495934959349,0.3708165817921915
12,0.056225668183909165,0.6363636363636364,0.47357723577235766,0.39105691056910563
13,0.054155069736292964,0.6363636363636364,0.49390243902439024,0.4078397212543554
14,0.0517268552342784,0.6623376623376623,0.5354166666666667,0.4442857142857143
15,0.050070909525724065,0.7012987012987013,0.5833333333333333,0.5156818181818181
16,0.04904034053719284,0.7012987012987013,0.5833333333333333,0.5119318181818182
17,0.047665234633473476,0.7012987012987013,0.5625,0.48151515151515145
18,0.04635169280722104,0.7142857142857143,0.5875,0.5148484848484849
19,0.04530285364829454,0.7142857142857143,0.5916666666666666,0.5302651515151515
20,0.04441001540595786,0.7012987012987013,0.6041666666666667,0.5448484848484848
21,0.0432274579068425,0.7402597402597403,0.6375,0.5756818181818181
22,0.04270549881911651,0.7272727272727273,0.6166666666666666,0.5635984848484848
23,0.04160390352242745,0.7272727272727273,0.6333333333333333,0.5744318181818182
24,0.04121942552144096,0.7402597402597403,0.6416666666666666,0.5910984848484848
25,0.04008775432104499,0.7402597402597403,0.6416666666666666,0.5910984848484848
26,0.039488003104591794,0.7402597402597403,0.6416666666666666,0.5827651515151515
27,0.0390386484880042,0.7662337662337663,0.6541666666666667,0.5947222222222222
28,0.03823471409362435,0.7532467532467533,0.6382113821138211,0.5799334811529934
29,0.037947574197845974,0.7662337662337663,0.6541666666666667,0.5863888888888888
30,0.03722851968451634,0.7792207792207793,0.6666666666666667,0.5897222222222223
