round,loss,accuracy,recall,precision
1,0.15096764703191634,0.07792207792207792,0.02564102564102564,0.001998001998001998
2,0.1396877477633073,0.07792207792207792,0.02564102564102564,0.002079002079002079
3,0.12310214608040966,0.14285714285714285,0.05128205128205128,0.034439416792357964
4,0.1049182098183856,0.23376623376623376,0.12179487179487179,0.06689051689051688
5,0.09151795923843213,0.4675324675324675,0.31196581196581197,0.20974765974765974
6,0.08123022347221973,0.5454545454545454,0.41025641025641024,0.28874643874643874
7,0.07436074981220084,0.5584415584415584,0.4358974358974359,0.3367521367521367
8,0.06864049095968805,0.5714285714285714,0.44871794871794873,0.33076923076923076
9,0.06468420602064538,0.5974025974025974,0.48290598290598286,0.35470085470085466
10,0.06148490831089233,0.6103896103896104,0.47916666666666663,0.3729166666666667
11,0.058027062400075415,0.5584415584415584,0.45833333333333337,0.355
12,0.05599940537872997,0.6233766233766234,0.4875,0.3967857142857143
13,0.053793078540955615,0.6103896103896104,0.4916666666666667,0.4216666666666666
14,0.05169544980029932,0.5974025974025974,0.4791666666666667,0.39345238095238094
15,0.05034465872468031,0.6233766233766234,0.5166666666666667,0.4309523809523809
16,0.04854042132695516,0.6623376623376623,0.5375,0.47178571428571425
17,0.04695722168724009,0.6753246753246753,0.5625,0.5092857142857142
18,0.04573253461178517,0.6753246753246753,0.6041666666666667,0.5591346153846153
19,0.04469888885015876,0.7142857142857143,0.61875,0.5770512820512821
20,0.04421744794653566,0.6883116883116883,0.6104166666666667,0.5737179487179487
21,0.04260935506031284,0.7012987012987013,0.6125,0.5603846153846154
22,0.0418113160320043,0.6883116883116883,0.6083333333333333,0.5612179487179487
23,0.04126081797367241,0.7142857142857143,0.61875,0.5770512820512821
24,0.03976057141152538,0.7142857142857143,0.6208333333333333,0.57
25,0.039574649189942634,0.7142857142857143,0.6208333333333333,0.5720833333333333
26,0.03858788533498777,0.7012987012987013,0.6125,0.5553846153846154
27,0.038223402972189374,0.7532467532467533,0.6458333333333333,0.5881818181818181
28,0.03750264601952811,0.7402597402597403,0.6395833333333333,0.5840151515151515
29,0.03655746319149965,0.7402597402597403,0.6395833333333333,0.5923484848484849
30,0.03661980675637588,0.7272727272727273,0.6375,0.5890151515151516
